"Sex","Cancer","Age","Case","PY"
2,22,16,1,232774
2,22,17,0,196259
2,22,18,2,213970
2,22,19,0,0
1,23,1,0,150117
1,23,2,0,162752
1,23,3,0,182820
1,23,4,0,175331
1,23,5,0,148497
1,23,6,0,167863
1,23,7,0,190927
1,23,8,0,214001
1,23,9,0,203302
1,23,10,0,209245
1,23,11,0,234433
1,23,12,0,275263
1,23,13,0,273099
1,23,14,0,197596
1,23,15,0,185939
1,23,16,0,164562
1,23,17,0,114258
1,23,18,0,75378
1,23,19,0,0
2,23,1,0,143800
2,23,2,0,155840
2,23,3,0,174035
2,23,4,0,170466
2,23,5,0,158539
2,23,6,0,177253
2,23,7,0,200856
2,23,8,0,227309
2,23,9,0,222142
2,23,10,0,225296
2,23,11,0,247852
2,23,12,0,286215
2,23,13,0,291631
2,23,14,0,238433
2,23,15,0,240090
2,23,16,0,232774
2,23,17,0,196259
2,23,18,0,213970
2,23,19,0,0
1,24,1,0,150117
1,24,2,0,162752
1,24,3,0,182820
1,24,4,0,175331
1,24,5,0,148497
1,24,6,0,167863
1,24,7,0,190927
1,24,8,0,214001
1,24,9,0,203302
1,24,10,0,209245
1,24,11,0,234433
1,24,12,0,275263
1,24,13,1,273099
1,24,14,0,197596
1,24,15,1,185939
1,24,16,0,164562
1,24,17,0,114258
1,24,18,0,75378
1,24,19,0,0
2,24,1,0,143800
2,24,2,0,155840
2,24,3,0,174035
2,24,4,0,170466
2,24,5,0,158539
2,24,6,0,177253
2,24,7,0,200856
2,24,8,0,227309
2,24,9,0,222142
2,24,10,0,225296
2,24,11,0,247852
2,24,12,0,286215
2,24,13,0,291631
2,24,14,0,238433
2,24,15,0,240090
2,24,16,0,232774
2,24,17,0,196259
2,24,18,0,213970
2,24,19,0,0
1,25,1,0,150117
1,25,2,0,162752
1,25,3,0,182820
1,25,4,0,175331
1,25,5,0,148497
1,25,6,0,167863
1,25,7,0,190927
1,25,8,0,214001
1,25,9,0,203302
1,25,10,0,209245
1,25,11,2,234433
1,25,12,2,275263
1,25,13,4,273099
1,25,14,6,197596
1,25,15,6,185939
1,25,16,8,164562
1,25,17,7,114258
1,25,18,11,75378
1,25,19,0,0
2,25,1,0,143800
2,25,2,0,155840
2,25,3,0,174035
2,25,4,0,170466
2,25,5,0,158539
2,25,6,0,177253
2,25,7,0,200856
2,25,8,0,227309
2,25,9,0,222142
2,25,10,0,225296
2,25,11,0,247852
2,25,12,0,286215
2,25,13,2,291631
2,25,14,0,238433
2,25,15,1,240090
2,25,16,1,232774
2,25,17,3,196259
2,25,18,10,213970
2,25,19,0,0
1,26,1,0,150117
1,26,2,0,162752
1,26,3,0,182820
1,26,4,0,175331
1,26,5,0,148497
1,26,6,0,167863
1,26,7,0,190927
1,26,8,0,214001
1,26,9,0,203302
1,26,10,0,209245
1,26,11,7,234433
1,26,12,13,275263
1,26,13,18,273099
1,26,14,24,197596
1,26,15,18,185939
1,26,16,12,164562
1,26,17,3,114258
