"Sex","Cancer","Age","Case","PY"
1,33,12,9,232000
1,33,13,14,182011
1,33,14,14,139713
1,33,15,14,109310
1,33,16,8,80619
1,33,17,3,45317
1,33,18,3,31662
1,33,19,0,0
2,33,1,0,136692
2,33,2,0,139552
2,33,3,0,135388
2,33,4,0,149483
2,33,5,0,171368
2,33,6,0,204692
2,33,7,0,250817
2,33,8,0,212823
2,33,9,0,186976
2,33,10,0,174028
2,33,11,0,192445
2,33,12,0,237592
2,33,13,2,193253
2,33,14,0,151545
2,33,15,3,134277
2,33,16,6,110566
2,33,17,4,81596
2,33,18,1,84117
2,33,19,0,0
1,34,1,0,143260
1,34,2,0,146182
1,34,3,0,142839
1,34,4,0,157238
1,34,5,0,163393
1,34,6,0,194106
1,34,7,0,240588
1,34,8,0,207694
1,34,9,1,184759
1,34,10,5,170386
1,34,11,13,189268
1,34,12,33,232000
